sampling_measure,R,Theta_1,Theta_2,Phi,V_reference,V_candidate,absolute_disagreement,normalized_disagreement,gradient_disagreement_cm1_per_rad,reference_high_candidate_below_warning,reference_above_1000_candidate_below_1000,selection_reason
coordinate-uniform,5,6.550074204839766,7.2330083651840686,152.99169526901096,24130.071999392778,24133.158646090145,3.0866466973675415,0.01279170114969079,60.062073785973112,False,False,largest gradient disagreement
coordinate-uniform,5,173.59135721404104,177.52917713955046,118.20298237994315,24144.467333511002,24147.983747656068,3.5164141450659372,0.014564057663783601,60.269199526375246,False,False,largest gradient disagreement
coordinate-uniform,5,174.15684130433948,6.2790657733753328,7.7188861086219553,24395.723858306817,24399.586299304498,3.8624409976800962,0.015832450884071321,62.226655900832029,False,False,largest gradient disagreement
coordinate-uniform,5.7999999999999998,62.450472694672648,147.8317246342823,12.475605329386889,65.584953134941941,65.362466245532019,0.22248688940992167,0.22248688940992167,1.2700817639768087,False,False,largest normalized disagreement
coordinate-uniform,5.7999999999999998,115.67201176017524,116.26262556564062,8.4564752454310668,92.132206953055288,92.36237591471513,0.23016896165984235,0.23016896165984235,1.6128017469464426,False,False,largest normalized disagreement
coordinate-uniform,5.7999999999999998,117.40271409038453,65.877169053442771,174.99225070785732,118.45306325590616,118.7279093571059,0.27484610119974207,0.23202954287975158,0.79802300129988457,False,False,largest normalized disagreement
coordinate-uniform,5.7999999999999998,64.13997470587492,30.070303766615687,159.69077207811176,53.884930790023375,53.651506817874107,0.23342397214926791,0.23342397214926791,0.20062124577993826,False,False,largest normalized disagreement
coordinate-uniform,5.7999999999999998,114.51903355948626,27.850661884658038,7.8926128210499877,40.233068714394712,39.989392853845949,0.24367586054876256,0.24367586054876256,1.0598344970781317,False,False,largest normalized disagreement
coordinate-uniform,5.7999999999999998,0.37916326090693475,173.85679797604681,62.727098484523594,5754.145639708202,5754.5134973259419,0.36785761773990089,0.0063929146179649921,0.32088722853466362,False,False,largest absolute disagreement
coordinate-uniform,5.7999999999999998,178.60552229851484,1.0182799847424031,28.835760270729665,5758.7236629457338,5759.0950893203553,0.37142637462147832,0.0064498037475110284,0.72402531416737248,False,False,largest absolute disagreement
coordinate-uniform,5.7999999999999998,1.3140147643536331,179.61712462484837,98.220539064221072,5759.7326140251735,5760.1055992035199,0.37298517834642553,0.006475737735432233,0.66907141244610724,False,False,largest absolute disagreement
coordinate-uniform,5.7999999999999998,0.69256086498498914,2.6738539944961666,176.78557330023497,5766.2529515997558,5766.628832499624,0.37588089986820705,0.0065186335567177086,0.40397875543154266,False,False,largest absolute disagreement
coordinate-uniform,5.7999999999999998,179.39144688360392,177.74192187342791,62.495524491146206,5766.2831919901628,5766.6607765818817,0.37758459171891445,0.006548145124807783,0.30937916114510661,False,False,largest absolute disagreement
coordinate-uniform,5.7999999999999998,61.213353572376079,88.31802544310689,57.365218480937187,98.184513250245743,98.17372110881341,0.010792141432332869,0.010792141432332869,3.0960574510710188,False,False,largest gradient disagreement
coordinate-uniform,5.7999999999999998,58.851690194606789,91.468724903203551,53.449386491551998,144.60193134802051,144.4354338169214,0.16649753109911103,0.11514198292303117,3.3026372715311552,False,False,largest gradient disagreement
coordinate-uniform,5.7999999999999998,47.542676261365408,96.559111464545126,54.051101673468949,551.54813265802784,551.49012596150578,0.0580066965220567,0.010517068790081852,3.4823723560077946,False,False,largest gradient disagreement
coordinate-uniform,5.7999999999999998,132.33825200267137,92.679427249990411,54.32919922593981,561.147203480298,561.01069726616913,0.13650621412887176,0.024326275401934622,3.604127427328911,False,False,largest gradient disagreement
coordinate-uniform,5.7999999999999998,119.34359606813639,83.736632516719396,56.716913320720195,97.215986693882144,97.148985740335817,0.067000953546326514,0.067000953546326514,3.6296426163845266,False,False,largest gradient disagreement
coordinate-uniform,6.5999999999999996,111.8651188134402,95.763725070320078,99.710330567099163,-81.819775787746849,-81.717470986237487,0.10230480150936216,0.10230480150936216,0.76184028594409614,False,False,largest absolute disagreement; largest normalized disagreement
coordinate-uniform,6.5999999999999996,106.37192402321845,96.674783273264765,88.014442657046018,-91.169210008109786,-91.062867965318617,0.10634204279116943,0.10634204279116943,0.87087598192824911,False,False,largest absolute disagreement; largest normalized disagreement
