design_position,orientation_id,Theta_1,Theta_2,Phi,leverage
209,217,81.989999999999995,118.84999999999999,144.69,0.44012687709852988
210,18,6.0899999999999999,160.71000000000001,142.78,0.184672196574512
211,487,175.47999999999999,76.469999999999999,147.66,0.35344225828096332
212,231,88.099999999999994,43.240000000000002,110.25,0.27810854835006804
213,455,166.03999999999999,111.39,150.47999999999999,0.25715216119196338
214,359,133.5,68.950000000000003,41.030000000000001,0.43347311825407941
215,343,126.84999999999999,56.049999999999997,136.88999999999999,0.34947725583706912
216,432,157.80000000000001,76.129999999999995,138.65000000000001,0.34822959645528045
217,201,73.849999999999994,44.619999999999997,109.72,0.2642347266439331
218,53,21.57,5.96,39.710000000000001,0.3321962996629455
219,245,92.219999999999999,15.16,2.0499999999999998,0.27168166739492355
220,447,163,147.88999999999999,77.739999999999995,0.29611090702711307
221,119,46.789999999999999,30.039999999999999,147.81999999999999,0.33509047883002563
222,209,77.019999999999996,170.28,8.3499999999999996,0.2871355198212483
223,419,154.19,39.619999999999997,67.230000000000004,0.28250160543432112
224,349,129.37,104.33,155.80000000000001,0.48485134712970257
225,296,105.88,50.979999999999997,139.38,0.35010625371123882
226,98,38.030000000000001,140.43000000000001,168.34999999999999,0.31682330386803242
227,140,54.93,147.86000000000001,126.55,0.29691498619660828
228,15,5.0499999999999998,36.490000000000002,12.460000000000001,0.2124997685044146
229,418,154.13,117.95999999999999,48.630000000000003,0.38290378817555154
230,200,73.810000000000002,6.0300000000000002,37.579999999999998,0.17067229839677661
231,263,96.140000000000001,153.34,83.930000000000007,0.24721373532483421
232,449,164.09,122.73,178.53999999999999,0.45234404236942072
233,403,148.99000000000001,167.09999999999999,136.44,0.25497007953101913
234,154,58.490000000000002,68.530000000000001,67.510000000000005,0.44295169616463437
235,379,139.59999999999999,97.400000000000006,69.890000000000001,0.44152334148352484
236,483,174.30000000000001,38.509999999999998,49.020000000000003,0.18218175466845826
237,234,88.510000000000005,51.039999999999999,143.33000000000001,0.33359502446609329
238,320,113.95999999999999,118.17,91.530000000000001,0.41625882231085942
239,327,116.06,179.11000000000001,28.68,0.21730414221888167
240,212,79.310000000000002,127.97,29.079999999999998,0.35507732423841021
241,48,17.800000000000001,121.92,114.72,0.40791977918047251
242,457,166.16,2.3999999999999999,28.260000000000002,0.17156215011061227
243,72,28.800000000000001,104.56999999999999,36.329999999999998,0.42830628759391587
244,120,47.259999999999998,138.27000000000001,118.72,0.31290340981724096
245,382,140.84,82.519999999999996,174.15000000000001,0.43376777084803853
246,317,113.53,32.490000000000002,104.08,0.2343923195790924
247,494,178.53,53.549999999999997,159.03,0.18776062122099155
248,240,90.950000000000003,45.909999999999997,15.75,0.37639457487705996
249,442,160.99000000000001,149.61000000000001,13.92,0.31779230411696557
250,297,105.94,93.810000000000002,2.6099999999999999,0.38973512127127152
251,402,148.65000000000001,148.18000000000001,89.469999999999999,0.18024345939743347
252,339,126,33.829999999999998,67.579999999999998,0.24119189627104104
253,197,72.769999999999996,141.84999999999999,50.189999999999998,0.30867761699116092
254,476,171.44,109.45999999999999,160.34999999999999,0.23918767233078292
255,462,166.86000000000001,75.519999999999996,106.92,0.3976393957296841
256,190,70.75,86.540000000000006,156.56,0.36783243775607294
257,150,57.909999999999997,45.590000000000003,9.6799999999999997,0.4012730757338826
258,155,58.93,15.27,140.31,0.22108711371714013
259,213,79.400000000000006,116.09999999999999,87.780000000000001,0.32874850359334162
260,114,46.049999999999997,75.180000000000007,85.159999999999997,0.41570443491631959
261,77,28.960000000000001,125.22,153.16,0.29508571142595319
262,94,35.439999999999998,150.05000000000001,145.90000000000001,0.23727680103727208
263,287,102.66,92.409999999999997,126.5,0.40573609246685816
264,430,157.22,22.629999999999999,0.47999999999999998,0.32296229585399955
265,222,84.090000000000003,93.680000000000007,29.09,0.34381312685490939
266,89,34.420000000000002,60.57,47.270000000000003,0.36833490009575465
267,97,36.969999999999999,11.550000000000001,82.739999999999995,0.23658257012273637
268,440,160.83000000000001,125.98999999999999,143.71000000000001,0.34464573665732334
269,444,162.30000000000001,101.63,120.17,0.36203070316117159
270,368,136.46000000000001,129.13,45.310000000000002,0.28271487332541295
271,129,50.32,132.72,100.86,0.3489199443445764
272,12,3.8700000000000001,91.439999999999998,4.1799999999999997,0.30985467766670866
273,254,94.700000000000003,119.45,83.980000000000004,0.33057296161508543
274,196,72.430000000000007,140.61000000000001,86.659999999999997,0.20168034344808533
275,180,66.730000000000004,169.78999999999999,9.3300000000000001,0.24245166450512678
276,164,60.729999999999997,31.52,135.80000000000001,0.33580387943453599
277,28,10.01,59.140000000000001,175.47,0.29952472074669645
278,115,46.100000000000001,40.859999999999999,15.08,0.178526255824977
279,373,137.97999999999999,126.26000000000001,149.71000000000001,0.33264336309857923
280,82,31.57,99.230000000000004,158.94999999999999,0.29493087396829354
281,311,110.72,122.15000000000001,79.790000000000006,0.38376393155930871
282,492,178.31999999999999,151.50999999999999,174.44,0.13480464069646259
283,124,48.859999999999999,109.31,139.13,0.38165314640947418
284,108,41.719999999999999,155.18000000000001,34.259999999999998,0.35151494886706458
285,334,124.65000000000001,56.390000000000001,154.83000000000001,0.35173831526278193
286,216,81.670000000000002,142.38,76.819999999999993,0.22925943385898828
287,438,160.12,44.859999999999999,79.810000000000002,0.32292479750276792
288,422,154.68000000000001,26.789999999999999,164.00999999999999,0.24187230218854122
289,361,134.34,98.349999999999994,153.49000000000001,0.3659082024814182
290,117,46.219999999999999,19.960000000000001,23.510000000000002,0.26647751349483328
291,178,65.579999999999998,40.340000000000003,27.699999999999999,0.31670012620842736
292,380,140.25999999999999,42.049999999999997,103.47,0.28911437377841931
293,428,156.81,42.920000000000002,149.87,0.22964825190755528
294,78,29.219999999999999,118.86,80.780000000000001,0.32648067874690911
295,174,64.040000000000006,148.50999999999999,100.94,0.23997339753835645
296,192,71.900000000000006,112.04000000000001,55.350000000000001,0.35447729620523549
297,32,10.66,36.590000000000003,130.16,0.22263559063343721
298,271,97.840000000000003,25.760000000000002,155.09,0.24113754475745586
299,151,57.93,145.03,154.53,0.28383005960330265
300,138,54.020000000000003,50.189999999999998,102.56,0.25183215162923034
301,116,46.119999999999997,169.37,61.740000000000002,0.23040195548868828
302,181,66.950000000000003,37.149999999999999,107.15000000000001,0.29994705008904299
303,286,102.59999999999999,55.439999999999998,134.15000000000001,0.3131929744481311
304,395,146.91999999999999,38.969999999999999,38.840000000000003,0.31861190942768125
305,210,77.390000000000001,54.590000000000003,141.22,0.32447918255480734
306,378,138.94,60.600000000000001,149.25,0.33726230021109893
307,445,162.34999999999999,147.37,154.69,0.31551558206331809
308,90,34.460000000000001,128.00999999999999,72.060000000000002,0.31806945056921998
309,233,88.359999999999999,171.41999999999999,178.69999999999999,0.22784350144624832
310,29,10.029999999999999,8.4900000000000002,34.840000000000003,0.17387025297392364
311,225,85.209999999999994,107.09999999999999,110.63,0.27408985782610801
312,39,13.34,145.43000000000001,152,0.26307241339498411
313,62,25.02,153.06999999999999,92.219999999999999,0.17577709981783965
314,194,71.959999999999994,178.59,85.319999999999993,0.16502120905754289
315,130,50.619999999999997,26.690000000000001,17.329999999999998,0.22257973432549613
316,278,100.31,57.170000000000002,80.159999999999997,0.29423610237538178
317,467,168.34999999999999,142.75999999999999,67.519999999999996,0.19516640157294862
318,147,56.700000000000003,4.0499999999999998,46.409999999999997,0.19860391021719373
