training_points,removed_position,removed_orientation,removed_leverage,replacement_orientation,replacement_leverage,retained_rank,condition_number,worst_normalized_error,tolerance_headroom,tolerance_safety_factor,limiting_R,minimum_guardrail_prediction,any_guardrail_below_warning,strict_pass
161,112,443,0.35555148165657524,294,0.14745033504606417,158,56.551472498308037,0.54243422607273994,0.45756577392726006,1.8435414874906897,4.4000000000000004,5000.7793833513597,False,True
161,113,281,0.2786621877968139,294,0.14745033504606417,158,123.62594798937786,4.2750554417670363,-3.2750554417670363,0.2339150950488407,4.4000000000000004,5000.5691766609525,False,False
161,114,354,0.3466969257459126,294,0.14745033504606417,158,133.27459499326588,0.56607865502373989,0.43392134497626011,1.7665389626077008,4.4000000000000004,5000.6451719171082,False,True
161,115,63,0.36466403967726718,294,0.14745033504606417,158,50.054137702168809,0.60896306538453104,0.39103693461546896,1.6421357169971349,4.4000000000000004,5000.6596117134322,False,True
161,116,323,0.27057132301225667,294,0.14745033504606417,158,151.72227201908012,1.026581873299556,-0.026581873299555969,0.97410642639332923,4.4000000000000004,5000.6223092562377,False,False
161,117,118,0.26971502103443806,294,0.14745033504606417,158,64.697712516764341,0.55605198560718794,0.44394801439281206,1.7983930026039516,4.4000000000000004,5000.4910493259949,False,True
161,118,241,0.23783178560133783,294,0.14745033504606417,158,56.112465904476096,1.9715802439763157,-0.97158024397631571,0.50720735463608801,4.4000000000000004,5000.6165541044102,False,False
161,119,106,0.29087264636183885,294,0.14745033504606417,158,70.683238687948517,0.66666109029348186,0.33333890970651814,1.5000125469446155,4.4000000000000004,5000.7027900268677,False,True
161,120,410,0.30029005383033369,294,0.14745033504606417,158,54.351251448143124,0.41803792428976261,0.58196207571023739,2.3921274647485116,5,5000.5822579756041,False,True
161,121,475,0.32488899911670699,294,0.14745033504606417,158,48.591731360284001,0.38087760017789385,0.61912239982210615,2.6255153874445147,4.4000000000000004,5000.5525474415499,False,True
161,122,133,0.50088988557219327,294,0.14745033504606417,158,54.946964311149479,0.63132570273653421,0.36867429726346579,1.583968458222778,4.4000000000000004,5000.8185896831319,False,True
161,123,288,0.25382381648813734,294,0.14745033504606417,158,80.686279842758651,1.925572070231516,-0.925572070231516,0.51932618646663675,4.4000000000000004,5000.643627501815,False,False
